ticket_id,title,description,category,priority,created_at,num_comments,is_reopened,resolution_duration_hours
32,Ticket 32: Issue with Account system,Detailed description for Account problem with priority High.,Account,High,2024-10-11 09:52:36.284323,6,True,31.81
33,Ticket 33: Issue with Network system,Detailed description for Network problem with priority Medium.,Network,Medium,2024-12-04 00:52:36.284334,4,False,18.98
34,Ticket 34: Issue with Other system,Detailed description for Other problem with priority Critical.,Other,Critical,2024-09-19 06:52:36.284344,11,False,36.07
35,Ticket 35: Issue with Network system,Detailed description for Network problem with priority Low.,Network,Low,2025-05-16 04:52:36.284355,14,True,18.41
36,Ticket 36: Issue with Software system,Detailed description for Software problem with priority Critical.,Software,Critical,2024-11-12 03:52:36.284365,11,True,96.95
37,Ticket 37: Issue with Other system,Detailed description for Other problem with priority Low.,Other,Low,2024-10-31 20:52:36.284376,12,True,20.09
38,Ticket 38: Issue with Other system,Detailed description for Other problem with priority Medium.,Other,Medium,2025-04-11 06:52:36.284387,7,False,16.06
39,Ticket 39: Issue with Other system,Detailed description for Other problem with priority Medium.,Other,Medium,2025-06-15 02:52:36.284399,10,True,26.51
40,Ticket 40: Issue with Other system,Detailed description for Other problem with priority High.,Other,High,2024-09-03 10:52:36.284409,14,True,41.85
41,Ticket 41: Issue with Hardware system,Detailed description for Hardware problem with priority Medium.,Hardware,Medium,2025-06-10 09:52:36.284420,13,False,28.96
42,Ticket 42: Issue with Software system,Detailed description for Software problem with priority Critical.,Software,Critical,2025-01-17 08:52:36.284431,1,True,68.44
43,Ticket 43: Issue with Account system,Detailed description for Account problem with priority High.,Account,High,2024-08-20 03:52:36.284442,4,True,46.38
44,Ticket 44: Issue with Account system,Detailed description for Account problem with priority Low.,Account,Low,2025-01-03 00:52:36.284453,10,False,10.82
45,Ticket 45: Issue with Network system,Detailed description for Network problem with priority High.,Network,High,2024-08-31 15:52:36.284463,1,False,38.1
46,Ticket 46: Issue with Account system,Detailed description for Account problem with priority Critical.,Account,Critical,2025-04-05 13:52:36.284474,4,True,50.29
47,Ticket 47: Issue with Other system,Detailed description for Other problem with priority Medium.,Other,Medium,2024-11-03 06:52:36.284485,15,False,17.97
48,Ticket 48: Issue with Hardware system,Detailed description for Hardware problem with priority Low.,Hardware,Low,2024-11-25 06:52:36.284496,14,True,33.36
49,Ticket 49: Issue with Software system,Detailed description for Software problem with priority High.,Software,High,2025-02-06 05:52:36.284506,15,False,33.65
50,Ticket 50: Issue with Network system,Detailed description for Network problem with priority Critical.,Network,Critical,2024-08-18 15:52:36.284517,6,True,75.05
51,Ticket 51: Issue with Hardware system,Detailed description for Hardware problem with priority High.,Hardware,High,2024-11-16 22:52:36.284527,13,False,35.02
52,Ticket 52: Issue with Hardware system,Detailed description for Hardware problem with priority High.,Hardware,High,2024-11-24 11:52:36.284538,1,False,52.1
53,Ticket 53: Issue with Hardware system,Detailed description for Hardware problem with priority Critical.,Hardware,Critical,2024-12-09 20:52:36.284548,9,False,76.06
54,Ticket 54: Issue with Network system,Detailed description for Network problem with priority Low.,Network,Low,2024-12-13 07:52:36.284559,12,True,27.98
55,Ticket 55: Issue with Account system,Detailed description for Account problem with priority Critical.,Account,Critical,2024-08-10 00:52:36.284570,2,False,37.56
56,Ticket 56: Issue with Account system,Detailed description for Account problem with priority Critical.,Account,Critical,2025-02-16 15:52:36.284581,7,False,31.69
57,Ticket 57: Issue with Software system,Detailed description for Software problem with priority High.,Software,High,2025-02-07 09:52:36.284591,8,False,21.57
58,Ticket 58: Issue with Software system,Detailed description for Software problem with priority Medium.,Software,Medium,2025-07-19 12:52:36.284602,15,False,22.0
59,Ticket 59: Issue with Network system,Detailed description for Network problem with priority High.,Network,High,2024-08-22 15:52:36.284613,10,False,33.18
60,Ticket 60: Issue with Software system,Detailed description for Software problem with priority Medium.,Software,Medium,2025-05-10 03:52:36.284624,6,False,15.13
61,Ticket 61: Issue with Software system,Detailed description for Software problem with priority Critical.,Software,Critical,2025-06-03 09:52:36.284635,11,False,62.88
62,Ticket 62: Issue with Software system,Detailed description for Software problem with priority Low.,Software,Low,2024-10-01 03:52:36.284645,2,False,13.54
63,Ticket 63: Issue with Software system,Detailed description for Software problem with priority High.,Software,High,2024-10-15 22:52:36.284656,12,False,30.18
64,Ticket 64: Issue with Software system,Detailed description for Software problem with priority Critical.,Software,Critical,2025-05-30 08:52:36.284667,3,False,34.14
65,Ticket 65: Issue with Other system,Detailed description for Other problem with priority Low.,Other,Low,2025-07-04 16:52:36.284677,15,False,18.48
66,Ticket 66: Issue with Account system,Detailed description for Account problem with priority Medium.,Account,Medium,2025-03-18 22:52:36.284689,15,False,22.76
67,Ticket 67: Issue with Other system,Detailed description for Other problem with priority Low.,Other,Low,2024-11-04 10:52:36.284700,10,True,11.49
68,Ticket 68: Issue with Network system,Detailed description for Network problem with priority Medium.,Network,Medium,2024-12-04 12:52:36.284710,15,False,24.16
69,Ticket 69: Issue with Hardware system,Detailed description for Hardware problem with priority Low.,Hardware,Low,2025-04-09 13:52:36.284721,14,True,29.53
70,Ticket 70: Issue with Account system,Detailed description for Account problem with priority High.,Account,High,2024-08-14 16:52:36.284731,4,True,40.79
71,Ticket 71: Issue with Hardware system,Detailed description for Hardware problem with priority Critical.,Hardware,Critical,2025-05-10 01:52:36.284742,1,False,47.3
72,Ticket 72: Issue with Network system,Detailed description for Network problem with priority High.,Network,High,2024-12-12 02:52:36.284753,13,False,53.28
73,Ticket 73: Issue with Hardware system,Detailed description for Hardware problem with priority Critical.,Hardware,Critical,2025-05-27 07:52:36.284763,7,False,55.29
74,Ticket 74: Issue with Software system,Detailed description for Software problem with priority High.,Software,High,2025-05-21 07:52:36.284773,2,True,28.3
75,Ticket 75: Issue with Software system,Detailed description for Software problem with priority High.,Software,High,2025-05-07 16:52:36.284784,13,True,59.44
76,Ticket 76: Issue with Software system,Detailed description for Software problem with priority Critical.,Software,Critical,2024-09-09 20:52:36.284795,0,False,38.5
77,Ticket 77: Issue with Hardware system,Detailed description for Hardware problem with priority High.,Hardware,High,2025-04-21 12:52:36.284805,1,True,60.4
78,Ticket 78: Issue with Software system,Detailed description for Software problem with priority High.,Software,High,2025-03-13 05:52:36.284816,8,True,36.73
79,Ticket 79: Issue with Software system,Detailed description for Software problem with priority Critical.,Software,Critical,2025-04-12 19:52:36.284828,13,False,25.29
80,Ticket 80: Issue with Network system,Detailed description for Network problem with priority Critical.,Network,Critical,2025-06-22 03:52:36.284839,4,True,79.41
81,Ticket 81: Issue with Account system,Detailed description for Account problem with priority Critical.,Account,Critical,2025-03-15 10:52:36.284849,15,True,33.03
82,Ticket 82: Issue with Account system,Detailed description for Account problem with priority Low.,Account,Low,2024-11-29 07:52:36.284860,7,False,7.3
83,Ticket 83: Issue with Account system,Detailed description for Account problem with priority Low.,Account,Low,2024-09-10 00:52:36.284871,14,False,12.51
84,Ticket 84: Issue with Hardware system,Detailed description for Hardware problem with priority Medium.,Hardware,Medium,2025-06-08 05:52:36.284882,3,False,17.79
85,Ticket 85: Issue with Account system,Detailed description for Account problem with priority Low.,Account,Low,2025-06-12 02:52:36.284892,1,False,7.2
86,Ticket 86: Issue with Network system,Detailed description for Network problem with priority Low.,Network,Low,2025-04-19 02:52:36.284903,13,False,24.71
87,Ticket 87: Issue with Hardware system,Detailed description for Hardware problem with priority Critical.,Hardware,Critical,2025-02-02 03:52:36.284913,2,True,93.67
88,Ticket 88: Issue with Account system,Detailed description for Account problem with priority Critical.,Account,Critical,2025-03-02 13:52:36.284924,2,False,39.86
89,Ticket 89: Issue with Software system,Detailed description for Software problem with priority Low.,Software,Low,2025-07-20 13:52:36.284935,15,False,10.82
90,Ticket 90: Issue with Network system,Detailed description for Network problem with priority Medium.,Network,Medium,2025-07-09 15:52:36.284945,13,False,26.3
91,Ticket 91: Issue with Software system,Detailed description for Software problem with priority Medium.,Software,Medium,2024-12-06 02:52:36.284956,11,False,15.05
92,Ticket 92: Issue with Network system,Detailed description for Network problem with priority High.,Network,High,2025-06-07 02:52:36.284967,2,False,33.13
93,Ticket 93: Issue with Network system,Detailed description for Network problem with priority Critical.,Network,Critical,2024-12-03 21:52:36.284978,12,False,43.93
94,Ticket 94: Issue with Other system,Detailed description for Other problem with priority High.,Other,High,2025-04-15 23:52:36.284991,0,False,16.09
95,Ticket 95: Issue with Account system,Detailed description for Account problem with priority Critical.,Account,Critical,2025-03-30 12:52:36.285002,5,False,41.58
96,Ticket 96: Issue with Software system,Detailed description for Software problem with priority Critical.,Software,Critical,2024-10-03 00:52:36.285013,8,True,96.27
97,Ticket 97: Issue with Network system,Detailed description for Network problem with priority Critical.,Network,Critical,2024-09-26 03:52:36.285023,9,False,56.0
98,Ticket 98: Issue with Hardware system,Detailed description for Hardware problem with priority High.,Hardware,High,2025-01-31 14:52:36.285034,9,True,55.2
99,Ticket 99: Issue with Other system,Detailed description for Other problem with priority High.,Other,High,2025-06-13 07:52:36.285045,2,False,21.05
100,Ticket 100: Issue with Hardware system,Detailed description for Hardware problem with priority Low.,Hardware,Low,2024-09-09 16:52:36.285056,10,False,25.1
101,Ticket 101: Issue with Network system,Detailed description for Network problem with priority Medium.,Network,Medium,2025-04-27 23:52:36.285067,4,False,24.48
102,Ticket 102: Issue with Account system,Detailed description for Account problem with priority High.,Account,High,2024-10-21 21:52:36.285077,1,False,12.33
103,Ticket 103: Issue with Hardware system,Detailed description for Hardware problem with priority Critical.,Hardware,Critical,2025-07-07 22:52:36.285088,13,False,91.63
104,Ticket 104: Issue with Network system,Detailed description for Network problem with priority Critical.,Network,Critical,2024-10-19 11:52:36.285098,6,False,21.59
105,Ticket 105: Issue with Hardware system,Detailed description for Hardware problem with priority Low.,Hardware,Low,2025-02-06 15:52:36.285109,11,False,21.76
106,Ticket 106: Issue with Other system,Detailed description for Other problem with priority High.,Other,High,2025-06-03 22:52:36.285119,8,False,14.27
107,Ticket 107: Issue with Other system,Detailed description for Other problem with priority High.,Other,High,2024-09-02 14:52:36.285130,10,False,21.29
108,Ticket 108: Issue with Network system,Detailed description for Network problem with priority Medium.,Network,Medium,2025-04-23 13:52:36.285141,15,False,30.92
109,Ticket 109: Issue with Other system,Detailed description for Other problem with priority Low.,Other,Low,2025-01-16 17:52:36.285153,9,False,8.6
110,Ticket 110: Issue with Hardware system,Detailed description for Hardware problem with priority High.,Hardware,High,2025-01-04 22:52:36.285168,8,False,40.02
111,Ticket 111: Issue with Network system,Detailed description for Network problem with priority Critical.,Network,Critical,2025-06-13 13:52:36.285180,9,False,70.16
112,Ticket 112: Issue with Software system,Detailed description for Software problem with priority Low.,Software,Low,2024-12-11 08:52:36.285191,7,False,15.58
113,Ticket 113: Issue with Other system,Detailed description for Other problem with priority Medium.,Other,Medium,2025-04-29 11:52:36.285202,11,True,33.62
114,Ticket 114: Issue with Hardware system,Detailed description for Hardware problem with priority Critical.,Hardware,Critical,2024-12-28 07:52:36.285212,15,True,109.56
115,Ticket 115: Issue with Software system,Detailed description for Software problem with priority Medium.,Software,Medium,2025-04-25 19:52:36.285223,4,False,18.55
116,Ticket 116: Issue with Other system,Detailed description for Other problem with priority High.,Other,High,2024-11-15 08:52:36.285235,6,False,10.56
117,Ticket 117: Issue with Software system,Detailed description for Software problem with priority Critical.,Software,Critical,2024-07-27 20:52:36.285247,1,False,48.03
118,Ticket 118: Issue with Account system,Detailed description for Account problem with priority Critical.,Account,Critical,2024-10-04 05:52:36.285258,1,False,25.53
119,Ticket 119: Issue with Software system,Detailed description for Software problem with priority Medium.,Software,Medium,2025-04-02 05:52:36.285269,10,True,22.42
120,Ticket 120: Issue with Account system,Detailed description for Account problem with priority Low.,Account,Low,2025-05-09 17:52:36.285280,15,True,16.26
121,Ticket 121: Issue with Software system,Detailed description for Software problem with priority Low.,Software,Low,2024-08-30 14:52:36.285291,14,False,14.87
122,Ticket 122: Issue with Account system,Detailed description for Account problem with priority High.,Account,High,2025-06-11 04:52:36.285301,2,True,23.54
123,Ticket 123: Issue with Hardware system,Detailed description for Hardware problem with priority Medium.,Hardware,Medium,2025-04-13 12:52:36.285311,14,True,58.54
124,Ticket 124: Issue with Software system,Detailed description for Software problem with priority Medium.,Software,Medium,2025-05-04 13:52:36.285322,13,True,34.62
125,Ticket 125: Issue with Software system,Detailed description for Software problem with priority Low.,Software,Low,2024-09-28 07:52:36.285332,4,False,8.01
126,Ticket 126: Issue with Software system,Detailed description for Software problem with priority Medium.,Software,Medium,2025-07-11 12:52:36.285343,4,False,19.88
127,Ticket 127: Issue with Hardware system,Detailed description for Hardware problem with priority Low.,Hardware,Low,2025-01-13 21:52:36.285353,0,True,26.48
128,Ticket 128: Issue with Account system,Detailed description for Account problem with priority Medium.,Account,Medium,2024-11-08 15:52:36.285364,1,True,22.24
129,Ticket 129: Issue with Hardware system,Detailed description for Hardware problem with priority High.,Hardware,High,2025-02-26 20:52:36.285375,15,False,23.86
130,Ticket 130: Issue with Software system,Detailed description for Software problem with priority Critical.,Software,Critical,2024-07-25 08:52:36.285386,6,False,51.16
131,Ticket 131: Issue with Network system,Detailed description for Network problem with priority Medium.,Network,Medium,2024-08-16 06:52:36.285396,5,False,17.08
132,Ticket 132: Issue with Software system,Detailed description for Software problem with priority Medium.,Software,Medium,2025-01-15 18:52:36.285409,15,False,26.35
133,Ticket 133: Issue with Account system,Detailed description for Account problem with priority Low.,Account,Low,2025-03-08 05:52:36.285420,6,False,11.87
134,Ticket 134: Issue with Network system,Detailed description for Network problem with priority Critical.,Network,Critical,2025-05-29 21:52:36.285431,7,False,59.18
135,Ticket 135: Issue with Other system,Detailed description for Other problem with priority High.,Other,High,2025-01-12 13:52:36.285442,9,True,15.05
136,Ticket 136: Issue with Other system,Detailed description for Other problem with priority High.,Other,High,2025-05-19 17:52:36.285453,10,False,36.96
137,Ticket 137: Issue with Hardware system,Detailed description for Hardware problem with priority Critical.,Hardware,Critical,2024-09-29 02:52:36.285463,2,False,100.59
138,Ticket 138: Issue with Software system,Detailed description for Software problem with priority High.,Software,High,2025-01-30 15:52:36.285476,7,False,24.38
139,Ticket 139: Issue with Software system,Detailed description for Software problem with priority Low.,Software,Low,2024-12-15 20:52:36.285487,4,False,15.88
140,Ticket 140: Issue with Hardware system,Detailed description for Hardware problem with priority High.,Hardware,High,2024-12-14 17:52:36.285498,13,True,70.73
141,Ticket 141: Issue with Account system,Detailed description for Account problem with priority High.,Account,High,2024-11-09 13:52:36.285509,7,True,22.46
142,Ticket 142: Issue with Software system,Detailed description for Software problem with priority High.,Software,High,2024-10-18 20:52:36.285519,2,True,23.17
143,Ticket 143: Issue with Account system,Detailed description for Account problem with priority High.,Account,High,2024-12-10 06:52:36.285530,14,False,27.1
144,Ticket 144: Issue with Hardware system,Detailed description for Hardware problem with priority Critical.,Hardware,Critical,2025-07-08 17:52:36.285541,10,False,78.72
145,Ticket 145: Issue with Other system,Detailed description for Other problem with priority Low.,Other,Low,2024-10-23 06:52:36.285551,1,False,6.74
146,Ticket 146: Issue with Account system,Detailed description for Account problem with priority High.,Account,High,2024-11-01 15:52:36.285562,12,False,28.78
147,Ticket 147: Issue with Network system,Detailed description for Network problem with priority High.,Network,High,2024-10-22 22:52:36.285572,6,False,32.52
148,Ticket 148: Issue with Network system,Detailed description for Network problem with priority High.,Network,High,2024-09-29 18:52:36.285583,3,False,32.92
149,Ticket 149: Issue with Account system,Detailed description for Account problem with priority Medium.,Account,Medium,2025-03-19 10:52:36.285595,14,True,29.53
150,Ticket 150: Issue with Account system,Detailed description for Account problem with priority High.,Account,High,2024-10-13 22:52:36.285605,9,True,21.49
151,Ticket 151: Issue with Software system,Detailed description for Software problem with priority Medium.,Software,Medium,2024-11-14 22:52:36.285616,15,True,42.95
152,Ticket 152: Issue with Other system,Detailed description for Other problem with priority Medium.,Other,Medium,2024-11-02 11:52:36.285627,13,True,20.63
153,Ticket 153: Issue with Software system,Detailed description for Software problem with priority Critical.,Software,Critical,2024-08-28 02:52:36.285639,11,False,51.14
154,Ticket 154: Issue with Other system,Detailed description for Other problem with priority Low.,Other,Low,2025-05-07 06:52:36.285649,5,False,5.44
155,Ticket 155: Issue with Network system,Detailed description for Network problem with priority Medium.,Network,Medium,2024-11-09 22:52:36.285660,0,True,28.98
156,Ticket 156: Issue with Account system,Detailed description for Account problem with priority Medium.,Account,Medium,2024-07-27 19:52:36.285671,6,False,13.77
157,Ticket 157: Issue with Other system,Detailed description for Other problem with priority Critical.,Other,Critical,2024-09-14 12:52:36.285682,11,True,74.0
158,Ticket 158: Issue with Network system,Detailed description for Network problem with priority Medium.,Network,Medium,2024-08-08 15:52:36.285692,4,False,24.78
159,Ticket 159: Issue with Hardware system,Detailed description for Hardware problem with priority Medium.,Hardware,Medium,2024-10-13 05:52:36.285703,4,False,22.44
160,Ticket 160: Issue with Software system,Detailed description for Software problem with priority Medium.,Software,Medium,2024-12-12 12:52:36.285717,6,False,11.45
161,Ticket 161: Issue with Account system,Detailed description for Account problem with priority Critical.,Account,Critical,2024-10-20 19:52:36.285728,8,False,60.22
162,Ticket 162: Issue with Account system,Detailed description for Account problem with priority Low.,Account,Low,2025-03-09 01:52:36.285739,13,False,16.4
163,Ticket 163: Issue with Software system,Detailed description for Software problem with priority Medium.,Software,Medium,2024-07-27 03:52:36.285749,14,False,21.04
164,Ticket 164: Issue with Software system,Detailed description for Software problem with priority Low.,Software,Low,2024-12-12 23:52:36.285760,9,False,10.95
165,Ticket 165: Issue with Software system,Detailed description for Software problem with priority High.,Software,High,2025-03-19 02:52:36.285770,9,False,36.85
166,Ticket 166: Issue with Network system,Detailed description for Network problem with priority Critical.,Network,Critical,2024-10-18 21:52:36.285781,5,True,75.53
167,Ticket 167: Issue with Hardware system,Detailed description for Hardware problem with priority Medium.,Hardware,Medium,2025-06-30 03:52:36.285791,6,False,22.4
168,Ticket 168: Issue with Software system,Detailed description for Software problem with priority High.,Software,High,2025-02-15 05:52:36.285802,14,False,24.13
169,Ticket 169: Issue with Network system,Detailed description for Network problem with priority Medium.,Network,Medium,2025-06-29 01:52:36.285812,9,True,24.24
170,Ticket 170: Issue with Software system,Detailed description for Software problem with priority Medium.,Software,Medium,2024-12-08 02:52:36.285823,13,True,32.88
171,Ticket 171: Issue with Hardware system,Detailed description for Hardware problem with priority High.,Hardware,High,2025-03-23 04:52:36.285834,3,False,29.73
172,Ticket 172: Issue with Hardware system,Detailed description for Hardware problem with priority High.,Hardware,High,2024-09-10 23:52:36.285845,2,True,52.27
173,Ticket 173: Issue with Other system,Detailed description for Other problem with priority Critical.,Other,Critical,2024-09-09 12:52:36.285857,14,False,31.71
174,Ticket 174: Issue with Software system,Detailed description for Software problem with priority Medium.,Software,Medium,2024-08-05 22:52:36.285870,11,True,28.97
175,Ticket 175: Issue with Hardware system,Detailed description for Hardware problem with priority High.,Hardware,High,2024-11-23 17:52:36.285880,13,False,36.16
176,Ticket 176: Issue with Hardware system,Detailed description for Hardware problem with priority Medium.,Hardware,Medium,2025-05-04 02:52:36.285891,10,True,42.84
177,Ticket 177: Issue with Other system,Detailed description for Other problem with priority Critical.,Other,Critical,2025-01-18 12:52:36.285902,5,False,23.54
178,Ticket 178: Issue with Network system,Detailed description for Network problem with priority High.,Network,High,2024-08-20 20:52:36.285915,15,True,49.23
179,Ticket 179: Issue with Account system,Detailed description for Account problem with priority Low.,Account,Low,2025-04-08 16:52:36.285926,13,False,10.46
180,Ticket 180: Issue with Network system,Detailed description for Network problem with priority High.,Network,High,2024-10-04 20:52:36.285937,1,False,24.8
181,Ticket 181: Issue with Account system,Detailed description for Account problem with priority High.,Account,High,2024-11-03 06:52:36.285948,3,False,20.24
182,Ticket 182: Issue with Network system,Detailed description for Network problem with priority Medium.,Network,Medium,2024-10-11 16:52:36.285958,5,False,16.59
183,Ticket 183: Issue with Other system,Detailed description for Other problem with priority Medium.,Other,Medium,2024-08-12 01:52:36.285969,1,True,26.25
184,Ticket 184: Issue with Other system,Detailed description for Other problem with priority Low.,Other,Low,2025-07-23 22:52:36.285980,1,True,19.83
185,Ticket 185: Issue with Other system,Detailed description for Other problem with priority High.,Other,High,2025-01-12 16:52:36.285990,6,False,20.71
186,Ticket 186: Issue with Account system,Detailed description for Account problem with priority Medium.,Account,Medium,2025-04-24 05:52:36.286001,10,False,15.93
187,Ticket 187: Issue with Account system,Detailed description for Account problem with priority Low.,Account,Low,2025-04-17 04:52:36.286012,15,False,12.94
188,Ticket 188: Issue with Hardware system,Detailed description for Hardware problem with priority Medium.,Hardware,Medium,2025-07-11 09:52:36.286023,6,True,39.62
189,Ticket 189: Issue with Account system,Detailed description for Account problem with priority High.,Account,High,2025-06-29 23:52:36.286034,10,False,20.15
190,Ticket 190: Issue with Other system,Detailed description for Other problem with priority High.,Other,High,2024-10-30 20:52:36.286044,12,False,35.98
191,Ticket 191: Issue with Account system,Detailed description for Account problem with priority Critical.,Account,Critical,2025-07-07 12:52:36.286056,1,False,30.91
192,Ticket 192: Issue with Other system,Detailed description for Other problem with priority Critical.,Other,Critical,2024-09-01 12:52:36.286066,14,False,44.83
193,Ticket 193: Issue with Other system,Detailed description for Other problem with priority Critical.,Other,Critical,2025-06-22 10:52:36.286077,9,False,17.6
194,Ticket 194: Issue with Other system,Detailed description for Other problem with priority Medium.,Other,Medium,2024-11-06 14:52:36.286088,13,False,19.65
195,Ticket 195: Issue with Account system,Detailed description for Account problem with priority High.,Account,High,2025-07-16 14:52:36.286098,9,True,35.41
196,Ticket 196: Issue with Software system,Detailed description for Software problem with priority Critical.,Software,Critical,2024-08-04 01:52:36.286107,3,True,85.26
197,Ticket 197: Issue with Network system,Detailed description for Network problem with priority Low.,Network,Low,2025-01-22 12:52:36.286117,4,False,21.5
198,Ticket 198: Issue with Software system,Detailed description for Software problem with priority Critical.,Software,Critical,2024-09-27 13:52:36.286127,8,True,81.9
199,Ticket 199: Issue with Account system,Detailed description for Account problem with priority Critical.,Account,Critical,2024-08-20 10:52:36.286136,13,False,25.64
200,Ticket 200: Issue with Software system,Detailed description for Software problem with priority Medium.,Software,Medium,2024-12-09 17:52:36.286146,13,True,36.7
201,Ticket 201: Issue with Other system,Detailed description for Other problem with priority High.,Other,High,2025-01-15 11:52:36.286156,4,True,21.51
202,Ticket 202: Issue with Hardware system,Detailed description for Hardware problem with priority Low.,Hardware,Low,2025-03-21 04:52:36.286167,14,False,14.07
203,Ticket 203: Issue with Software system,Detailed description for Software problem with priority Medium.,Software,Medium,2024-09-13 07:52:36.286177,11,True,42.27
204,Ticket 204: Issue with Other system,Detailed description for Other problem with priority Low.,Other,Low,2025-01-07 07:52:36.286187,9,False,10.84
205,Ticket 205: Issue with Network system,Detailed description for Network problem with priority High.,Network,High,2024-11-26 05:52:36.286196,2,True,27.44
206,Ticket 206: Issue with Hardware system,Detailed description for Hardware problem with priority Medium.,Hardware,Medium,2025-02-21 12:52:36.286206,8,False,39.01
207,Ticket 207: Issue with Network system,Detailed description for Network problem with priority Low.,Network,Low,2025-01-28 08:52:36.286215,15,True,31.48
208,Ticket 208: Issue with Hardware system,Detailed description for Hardware problem with priority Critical.,Hardware,Critical,2025-05-11 12:52:36.286225,6,False,77.18
209,Ticket 209: Issue with Hardware system,Detailed description for Hardware problem with priority Medium.,Hardware,Medium,2025-02-01 23:52:36.286234,11,False,37.68
210,Ticket 210: Issue with Other system,Detailed description for Other problem with priority Low.,Other,Low,2025-06-18 08:52:36.286246,14,False,12.35
211,Ticket 211: Issue with Account system,Detailed description for Account problem with priority High.,Account,High,2024-09-29 09:52:36.286256,7,True,35.93
212,Ticket 212: Issue with Other system,Detailed description for Other problem with priority Low.,Other,Low,2024-10-23 01:52:36.286266,3,False,3.13
